Repositório,Idade (dias),PR's aceitas,Releases,Última atualização (dias),Linguagem principal,Issues,Issues fechadas
https://github.com/freeCodeCamp/freeCodeCamp,3542,22901,0,0,TypeScript,18212,98.97%
https://github.com/EbookFoundation/free-programming-books,3981,6490,0,1,N/A,1095,97.63%
https://github.com/sindresorhus/awesome,3708,651,0,20,N/A,340,96.18%
https://github.com/public-apis/public-apis,3090,1872,0,16,Python,602,97.51%
https://github.com/jwasham/coding-interview-university,3012,412,0,5,N/A,440,89.77%
https://github.com/codecrafters-io/build-your-own-x,2310,140,0,1,Markdown,666,72.52%
https://github.com/kamranahmedse/developer-roadmap,2730,2742,1,0,TypeScript,2232,96.46%
https://github.com/996icu/996.ICU,1989,1066,0,17,N/A,0,0.00%
https://github.com/donnemartin/system-design-primer,2747,198,0,28,Python,295,28.47%
https://github.com/facebook/react,4121,10729,101,0,JavaScript,13105,94.92%
https://github.com/vinta/awesome-python,3722,543,0,24,Python,0,0.00%
https://github.com/vuejs/vue,4055,1135,249,14,TypeScript,10016,96.46%
https://github.com/practical-tutorials/project-based-learning,2702,182,0,20,N/A,167,41.92%
https://github.com/awesome-selfhosted/awesome-selfhosted,3383,2392,1,3,N/A,804,100.00%
https://github.com/trekhleb/javascript-algorithms,2356,299,0,16,JavaScript,351,63.53%
https://github.com/tensorflow/tensorflow,3224,22803,208,0,C++,39697,95.78%
https://github.com/TheAlgorithms/Python,2972,2801,0,1,Python,1460,98.01%
https://github.com/getify/You-Dont-Know-JS,3945,367,0,33,N/A,925,91.46%
https://github.com/torvalds/linux,4749,10,0,1,C,0,0.00%
https://github.com/CyC2018/CS-Notes,2395,374,0,14,N/A,564,79.08%
https://github.com/ohmyzsh/ohmyzsh,5486,3196,0,1,Shell,4801,97.46%
https://github.com/twbs/bootstrap,4786,8789,89,0,JavaScript,22476,98.01%
https://github.com/ossu/computer-science,3776,267,0,14,N/A,638,97.34%
https://github.com/Significant-Gravitas/AutoGPT,538,1902,21,0,Python,2595,94.64%
https://github.com/flutter/flutter,3470,38791,7,0,Dart,98062,87.26%
https://github.com/microsoft/vscode,3289,27102,139,0,TypeScript,182351,94.91%
https://github.com/github/gitignore,5049,1549,0,4,N/A,0,0.00%
https://github.com/jackfrued/Python-100-Days,2379,13,0,20,Python,639,17.21%
https://github.com/jlevy/the-art-of-command-line,3395,317,0,71,N/A,251,52.59%
https://github.com/Snailclimb/JavaGuide,2312,1042,0,0,Java,1039,93.65%
https://github.com/airbnb/javascript,4325,804,0,18,JavaScript,1326,93.06%
https://github.com/trimstray/the-book-of-secret-knowledge,2265,122,0,14,N/A,0,0.00%
https://github.com/AUTOMATIC1111/stable-diffusion-webui,744,1829,26,0,Python,7625,70.78%
https://github.com/huggingface/transformers,2137,13261,164,0,Python,15610,93.46%
https://github.com/ytdl-org/youtube-dl,5057,1636,341,18,Python,26594,86.06%
https://github.com/avelino/awesome-go,3713,3244,0,0,Go,648,99.69%
https://github.com/labuladong/fucking-algorithm,1659,238,1,4,Markdown,830,100.00%
https://github.com/vercel/next.js,2891,18110,1000,0,JavaScript,21105,86.24%
https://github.com/golang/go,3669,1,0,0,Go,63195,85.52%
https://github.com/Chalarangelo/30-seconds-of-code,2471,817,10,0,JavaScript,294,100.00%
https://github.com/facebook/react-native,3526,848,336,0,C++,26012,97.70%
https://github.com/yangshun/tech-interview-handbook,2983,459,0,49,TypeScript,93,66.67%
https://github.com/electron/electron,4163,20127,1000,0,C++,19998,95.70%
https://github.com/justjavac/free-programming-books-zh_CN,3957,282,3,51,N/A,0,0.00%
https://github.com/f/awesome-chatgpt-prompts,639,117,0,1,HTML,0,0.00%
https://github.com/kubernetes/kubernetes,3743,59278,690,0,Go,45709,95.91%
https://github.com/microsoft/PowerToys,1953,4794,102,0,C#,28984,79.35%
https://github.com/Genymobile/scrcpy,2479,85,39,6,C,4708,58.69%
https://github.com/d3/d3,5091,485,194,58,Shell,2202,99.73%
https://github.com/nodejs/node,3570,8685,405,0,JavaScript,18093,91.23%
https://github.com/axios/axios,3670,872,84,4,JavaScript,4664,86.43%
https://github.com/facebook/create-react-app,2971,1945,83,8,JavaScript,8304,78.82%
https://github.com/mrdoob/three.js,5279,12921,160,0,JavaScript,12493,96.82%
https://github.com/microsoft/TypeScript,3732,14323,199,1,TypeScript,40759,87.10%
https://github.com/goldbergyoni/nodebestpractices,2546,765,0,62,Dockerfile,321,88.16%
https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,1826,0,0,0,Java,335,46.87%
https://github.com/rust-lang/rust,5194,57426,128,0,Rust,54157,82.29%
https://github.com/angular/angular,3639,3614,357,0,TypeScript,27935,95.05%
https://github.com/microsoft/terminal,2581,3883,119,0,C++,12646,88.12%
https://github.com/krahets/hello-algo,670,842,8,2,Java,208,95.67%
https://github.com/denoland/deno,2304,11286,291,0,Rust,10649,82.33%
https://github.com/massgravel/Microsoft-Activation-Scripts,1697,5,15,4,Batchfile,382,98.69%
https://github.com/mui/material-ui,3670,18901,491,0,TypeScript,19287,91.10%
https://github.com/langchain-ai/langchain,688,11501,556,0,Jupyter Notebook,7487,92.00%
https://github.com/ant-design/ant-design,3421,14183,667,0,TypeScript,30027,96.18%
https://github.com/ryanmcdermott/clean-code-javascript,2840,149,0,37,JavaScript,154,54.55%
https://github.com/521xueweihan/HelloGitHub,3045,17,46,7,Python,2670,94.94%
https://github.com/iluwatar/java-design-patterns,3679,1385,0,2,Java,937,85.49%
https://github.com/godotengine/godot,3896,33896,57,0,C++,52099,79.67%
https://github.com/puppeteer/puppeteer,2675,4828,437,0,TypeScript,6878,96.16%
https://github.com/ollama/ollama,436,1551,89,0,Go,4183,76.17%
https://github.com/PanJiaChen/vue-element-admin,2697,311,49,50,Vue,3583,65.56%
https://github.com/ripienaar/free-for-dev,3458,2545,0,0,HTML,0,0.00%
https://github.com/papers-we-love/papers-we-love,3916,430,0,3,Shell,237,91.98%
https://github.com/nvbn/thefuck,3437,482,17,47,Python,729,64.47%
https://github.com/fatedier/frp,3180,626,99,16,Go,3499,98.51%
https://github.com/iptv-org/iptv,2121,6329,0,0,JavaScript,8334,99.82%
https://github.com/storybookjs/storybook,3092,10209,1000,0,TypeScript,12707,85.36%
https://github.com/microsoft/Web-Dev-For-Beginners,1394,495,0,2,JavaScript,289,83.04%
https://github.com/Hack-with-Github/Awesome-Hacking,3080,33,0,13,N/A,0,0.00%
https://github.com/mtdvio/every-programmer-should-know,2568,99,0,29,N/A,51,41.18%
https://github.com/pytorch/pytorch,2944,5851,54,0,Python,44591,69.16%
https://github.com/yt-dlp/yt-dlp,1409,2215,91,2,Python,7646,81.60%
https://github.com/tailwindlabs/tailwindcss,2525,2194,228,0,TypeScript,3366,98.84%
https://github.com/tauri-apps/tauri,1880,4335,1000,0,Rust,4413,79.18%
https://github.com/neovim/neovim,3869,13476,38,0,Vim Script,11624,87.65%
https://github.com/animate-css/animate.css,4711,315,22,37,CSS,865,97.23%
https://github.com/excalidraw/excalidraw,1707,3432,13,0,TypeScript,3480,57.39%
https://github.com/gothinkster/realworld,3113,429,0,1,TypeScript,532,92.67%
https://github.com/django/django,4512,9139,0,1,Python,0,0.00%
https://github.com/florinpop17/app-ideas,2018,149,0,19,N/A,145,29.66%
https://github.com/nvm-sh/nvm,5256,708,68,7,Shell,2183,86.67%
https://github.com/sveltejs/svelte,2845,4670,267,0,JavaScript,6963,88.40%
https://github.com/laravel/laravel,4837,1578,171,1,PHP,0,0.00%
https://github.com/bitcoin/bitcoin,5008,14412,51,0,C++,8128,95.48%
https://github.com/opencv/opencv,4430,12314,63,0,C++,10710,76.90%
https://github.com/gin-gonic/gin,3733,1026,26,2,Go,2229,72.95%
https://github.com/macrozheng/mall,2345,1,3,6,Java,492,96.34%
https://github.com/tensorflow/models,3134,2327,46,1,Python,7274,85.30%
https://github.com/tonsky/FiraCode,3585,132,29,117,Clojure,1325,70.57%
https://github.com/doocs/advanced-java,2160,86,1,14,Java,146,96.58%
https://github.com/MisterBooo/LeetCodeAnimation,2099,63,0,387,Java,59,71.19%
https://github.com/fastapi/fastapi,2097,2102,185,0,Python,3425,98.89%
https://github.com/jaywcjlove/awesome-mac,2971,871,9,2,JavaScript,425,72.94%
https://github.com/gohugoio/hugo,4080,2558,286,0,Go,7321,94.04%
https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web,544,707,66,0,TypeScript,2962,86.87%
https://github.com/spring-projects/spring-boot,4338,42,283,0,Java,35270,98.44%
https://github.com/FortAwesome/Font-Awesome,4583,205,56,48,JavaScript,19414,79.24%
https://github.com/oven-sh/bun,1239,3673,156,0,Zig,8498,60.04%
https://github.com/typicode/json-server,3934,120,37,14,JavaScript,1145,47.07%
https://github.com/vuejs/awesome-vue,3242,3517,0,9,N/A,222,84.68%
https://github.com/rustdesk/rustdesk,1437,3024,20,0,Rust,2999,98.53%
https://github.com/supabase/supabase,1789,9590,15,0,TypeScript,3715,93.51%
https://github.com/home-assistant/core,4005,62656,1000,0,Python,51669,95.72%
https://github.com/mermaid-js/mermaid,3595,2144,130,0,JavaScript,2914,67.43%
https://github.com/netdata/netdata,4097,9007,90,0,C,7907,97.84%
https://github.com/DopplerHQ/awesome-interview-questions,3203,176,0,37,N/A,62,56.45%
https://github.com/elastic/elasticsearch,5322,66102,153,0,Java,36042,89.39%
https://github.com/microsoft/ML-For-Beginners,1281,365,0,4,HTML,131,100.00%
